BioSample	BioSampleModel	DATASTORE_provider	DATASTORE_region	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	description	disease_stat	env_biome	env_feature	env_material	genotype	geo_loc_name	host	host_age	host_color	host_diet	host_sex	host_subject_id	host_taxid	host_tot_mass	lat_lon	lib_const_meth	nucl_acid_amp	nucl_acid_ext	perturbation	samp_mat_process	samp_size	samp_store_temp	sample_title	seq_methods	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	organism	target_gene	target_subfragment
SAMN11392073	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673657	F5D145_S272_L001_R1_001.fastq.gz.F5D145	0	0	SRR8888124	SRS4616008	F5D145	2010-03-24	"Female 5, Day 145"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	166	black	Irradiated Lab Diet 5053	female	F5	10090	19.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F5D145	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391940	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673660	M1D9_S10_L001_R1_001.fastq.gz.M1D9	0	0	SRR8888121	SRS4616030	M1D9	2009-11-08	"Male 1, Day 9"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	30	black	Irradiated Lab Diet 5053	male	M1	10090	17.2	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M1D9	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391978	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673663	F8D25_S352_L001_R1_001.fastq.gz.F8D25	4	2	SRR8888118	SRS4615911	F8D25	2009-11-24	"Female 8, Day 25"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	46	black	Irradiated Lab Diet 5053	female	F8	10090	15.9	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F8D25	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391861	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673666	M4D17_S105_L001_R1_001.fastq.gz.M4D17	3	1	SRR8888115	SRS4616080	M4D17	2009-11-16	"Male 4, Day 17"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	38	black	Irradiated Lab Diet 5053	male	M4	10090	16.8	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M4D17	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391917	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673667	M2D364_S59_L001_R1_001.fastq.gz.M2D364	6	4	SRR8888114	SRS4615812	M2D364	2010-10-29	"Male 2, Day 364"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	385	black	Irradiated Lab Diet 5053	male	M2	10090	31.1	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M2D364	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392113	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673669	F3D9_S197_L001_R1_001.fastq.gz.F3D9	3	2	SRR8888112	SRS4615916	F3D9	2009-11-08	"Female 3, Day 9"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	30	black	Irradiated Lab Diet 5053	female	F3	10090	13.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F3D9	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391898	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673672	M3D147_S86_L001_R1_001.fastq.gz.M3D147	1	0	SRR8888109	SRS4615829	M3D147	2010-03-26	"Male 3, Day 147"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	168	black	Irradiated Lab Diet 5053	male	M3	10090	26.4	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M3D147	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392004	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673673	F7D15_S327_L001_R1_001.fastq.gz.F7D15	6	3	SRR8888108	SRS4616059	F7D15	2009-11-14	"Female 7, Day 15"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	36	black	Irradiated Lab Diet 5053	female	F7	10090	11.9	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F7D15	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391889	MIMARKS.survey.host-associated.4.0	sra-sos	sra-sos.public	SRX5673674	M3D21_S75_L001_R1_001.fastq.gz.M3D21	6	4	SRR8888107	SRS4615988	M3D21	2009-11-20	"Male 3, Day 21"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	42	black	Irradiated Lab Diet 5053	male	M3	10090	17.9	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M3D21	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392074	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673676	F5D144_S271_L001_R1_001.fastq.gz.F5D144	3	2	SRR8888105	SRS4615773	F5D144	2010-03-23	"Female 5, Day 144"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	165	black	Irradiated Lab Diet 5053	female	F5	10090	19	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F5D144	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391812	MIMARKS.survey.host-associated.4.0	sra-sos	sra-sos.public	SRX5673677	M6D1_S157_L001_R1_001.fastq.gz.M6D1	3	1	SRR8888104	SRS4615986	M6D1	2009-10-31	"Male 6, Day 1"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	22	black	Irradiated Lab Diet 5053	male	M6	10090	7	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M6D1	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392000	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673679	F7D3_S319_L001_R1_001.fastq.gz.F7D3	7	4	SRR8888102	SRS4615860	F7D3	2009-11-02	"Female 7, Day 3"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	24	black	Irradiated Lab Diet 5053	female	F7	10090	8.8	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F7D3	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391822	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673680	M5D364_S155_L001_R1_001.fastq.gz.M5D364	4	2	SRR8888101	SRS4616002	M5D364	2010-10-29	"Male 5, Day 364"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	385	black	Irradiated Lab Diet 5053	male	M5	10090	26.6	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M5D364	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391838	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673682	M5D143_S146_L001_R1_001.fastq.gz.M5D143	3	2	SRR8888099	SRS4615977	M5D143	2010-03-22	"Male 5, Day 143"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	164	black	Irradiated Lab Diet 5053	male	M5	10090	24.4	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M5D143	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391913	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673683	M2D65_S47_L001_R1_001.fastq.gz.M2D65	9	5	SRR8888098	SRS4616089	M2D65	2010-01-03	"Male 2, Day 65"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	86	black	Irradiated Lab Diet 5053	male	M2	10090	23.2	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M2D65	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391998	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673685	F7D45_S329_L001_R1_001.fastq.gz.F7D45	4	2	SRR8888096	SRS4616105	F7D45	2009-12-14	"Female 7, Day 45"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	66	black	Irradiated Lab Diet 5053	female	F7	10090	14.2	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F7D45	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392032	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673686	F6D19_S298_L001_R1_001.fastq.gz.F6D19	5	3	SRR8888095	SRS4615873	F6D19	2009-11-18	"Female 6, Day 19"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	40	black	Irradiated Lab Diet 5053	female	F6	10090	14.1	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F6D19	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391916	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673688	M2D4_S34_L001_R1_001.fastq.gz.M2D4	8	5	SRR8888093	SRS4615886	M2D4	2009-11-03	"Male 2, Day 4"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	25	black	Irradiated Lab Diet 5053	male	M2	10090	11.5	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M2D4	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391935	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673691	M2D13_S41_L001_R1_001.fastq.gz.M2D13	3	2	SRR8888090	SRS4615980	M2D13	2009-11-12	"Male 2, Day 13"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	34	black	Irradiated Lab Diet 5053	male	M2	10090	17.7	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M2D13	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392044	MIMARKS.survey.host-associated.4.0	sra-sos	sra-sos.public	SRX5673692	F6D142_S305_L001_R1_001.fastq.gz.F6D142	8	5	SRR8888089	SRS4616052	F6D142	2010-03-21	"Female 6, Day 142"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	163	black	Irradiated Lab Diet 5053	female	F6	10090	18.8	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F6D142	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391923	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673695	M2D17_S43_L001_R1_001.fastq.gz.M2D17	3	2	SRR8888086	SRS4616111	M2D17	2009-11-16	"Male 2, Day 17"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	38	black	Irradiated Lab Diet 5053	male	M2	10090	19.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M2D17	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392085	MIMARKS.survey.host-associated.4.0	sra-sos	sra-sos.public	SRX5673696	F4D7_S225_L001_R1_001.fastq.gz.F4D7	4	2	SRR8888085	SRS4615805	F4D7	2009-11-06	"Female 4, Day 7"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	28	black	Irradiated Lab Diet 5053	female	F4	10090	13	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F4D7	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391882	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673697	M3D6_S66_L001_R1_001.fastq.gz.M3D6	3	2	SRR8888084	SRS4616042	M3D6	2009-11-05	"Male 3, Day 6"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	27	black	Irradiated Lab Diet 5053	male	M3	10090	11.7	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M3D6	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391876	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673701	M4D1_S93_L001_R1_001.fastq.gz.M4D1	1	0	SRR8888080	SRS4615893	M4D1	2009-10-31	"Male 4, Day 1"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	22	black	Irradiated Lab Diet 5053	male	M4	10090	8.9	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M4D1	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392106	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673702	F4D142_S238_L001_R1_001.fastq.gz.F4D142	7	4	SRR8888079	SRS4616033	F4D142	2010-03-21	"Female 4, Day 142"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	163	black	Irradiated Lab Diet 5053	female	F4	10090	23.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F4D142	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391804	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673704	M6D145_S180_L001_R1_001.fastq.gz.M6D145	3	2	SRR8888077	SRS4615842	M6D145	2010-03-24	"Male 6, Day 145"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	166	black	Irradiated Lab Diet 5053	male	M6	10090	23.9	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M6D145	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391915	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673705	M2D5_S35_L001_R1_001.fastq.gz.M2D5	10	6	SRR8888076	SRS4616014	M2D5	2009-11-04	"Male 2, Day 5"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	26	black	Irradiated Lab Diet 5053	male	M2	10090	12	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M2D5	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392068	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673707	F5D15_S260_L001_R1_001.fastq.gz.F5D15	3	2	SRR8888074	SRS4615797	F5D15	2009-11-14	"Female 5, Day 15"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	36	black	Irradiated Lab Diet 5053	female	F5	10090	13.7	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F5D15	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391806	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673708	M6D143_S178_L001_R1_001.fastq.gz.M6D143	1	1	SRR8888073	SRS4615874	M6D143	2010-03-22	"Male 6, Day 143"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	164	black	Irradiated Lab Diet 5053	male	M6	10090	24	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M6D143	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392038	MIMARKS.survey.host-associated.4.0	sra-sos	sra-sos.public	SRX5673709	F6D148_S311_L001_R1_001.fastq.gz.F6D148	2	1	SRR8888072	SRS4616068	F6D148	2010-03-27	"Female 6, Day 148"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	169	black	Irradiated Lab Diet 5053	female	F6	10090	19.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F6D148	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391973	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673710	F8D6_S348_L001_R1_001.fastq.gz.F8D6	2	1	SRR8888071	SRS4615996	F8D6	2009-11-05	"Female 8, Day 6"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	27	black	Irradiated Lab Diet 5053	female	F8	10090	11.8	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F8D6	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392054	MIMARKS.survey.host-associated.4.0	sra-sos	sra-sos.public	SRX5673713	F5D65_S266_L001_R1_001.fastq.gz.F5D65	2	1	SRR8888067	SRS4615811	F5D65	2010-01-03	"Female 5, Day 65"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	86	black	Irradiated Lab Diet 5053	female	F5	10090	18.4	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F5D65	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392099	MIMARKS.survey.host-associated.4.0	sra-sos	sra-sos.public	SRX5673714	F4D149_S245_L001_R1_001.fastq.gz.F4D149	8	5	SRR8888066	SRS4615938	F4D149	2010-03-28	"Female 4, Day 149"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	170	black	Irradiated Lab Diet 5053	female	F4	10090	23.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F4D149	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391849	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673716	M4D65_S110_L001_R1_001.fastq.gz.M4D65	2	1	SRR8888064	SRS4616092	M4D65	2010-01-03	"Male 4, Day 65"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	86	black	Irradiated Lab Diet 5053	male	M4	10090	24	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M4D65	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
